Feature,Chi2_Score,P_Value
supposed,316.61876596369126,2.515834965708355e-68
trump,308.65498019568486,1.331985908463532e-66
serve,225.89100925619974,1.0695229205359373e-48
win,210.1294772911643,2.730232013528736e-45
kamala,181.35782897988278,4.4898435904560136e-39
harris,159.42201398386223,2.442658336509953e-34
kamalahq,149.17697517152618,3.965563741825485e-32
rightful,137.73510840414102,1.1635447458346217e-29
unfit,136.4230896983811,2.2316990328584718e-29
records,131.4689324158713,2.6091689119637e-28
democrats,111.57760544564522,5.021121032665444e-24
supporters,110.07189951016116,1.0589175543179654e-23
medical,102.60155774562341,4.285924036806105e-22
enemy,92.64884583744454,5.909254782979944e-20
release,90.29645672720278,1.8918258667827825e-19
calltoactivism,89.54029902347652,2.749742063471112e-19
support,89.03599160538562,3.5285887297897603e-19
doral,82.00777027902905,1.1384360890137798e-17
donald,81.97710917294314,1.1558123716241732e-17
wins,78.1230915408112,7.754826596675181e-17
truth,77.26700428260519,1.1834113807372888e-16
supporter,76.23703052663078,1.9676632453848769e-16
free,74.99958808408762,3.624055987006771e-16
actor,71.37992627090257,2.161400963444493e-15
like,69.76584013035176,4.790691203350813e-15
best,69.39980198633108,5.738145433479494e-15
onusfinance,64.54689984102158,6.270108943422332e-14
help,63.45527759499704,1.0733087852091216e-13
join,63.418625943080045,1.0928531520412759e-13
dead,59.73892463375262,6.683772385069777e-13
stupid,57.88527901668704,1.6630785692512963e-12
lose,56.772501597474054,2.8739165430217694e-12
insults,56.281427832388594,3.658360112008941e-12
airdrop,55.23347056462107,6.122167081350947e-12
1000,55.14156053233759,6.4049241607126934e-12
lying,54.34643971339208,9.465153760004576e-12
president,54.16874942636373,1.0328240760990985e-11
que,52.06869830527514,2.8957899073914208e-11
personality,51.59437084079186,3.654696570525364e-11
stolen,49.10753617193802,1.2374747263793076e-10
lost,48.934539599565376,1.3469927233875101e-10
assassination,48.78110131394497,1.4522063607699472e-10
jd,47.14600893880248,3.2357264812560317e-10
braggy,46.901189860323825,3.647945333763643e-10
super,46.48802936550565,4.466024133959726e-10
wow,46.261429152103624,4.990093420492437e-10
work,45.376216386426336,7.696742505257869e-10
want,44.471069001905676,1.198573753608406e-09
sent,44.28440452444279,1.313178249819978e-09
supports,44.21846753492436,1.3562253986950289e-09
radical,44.20147089000726,1.3675484058988818e-09
linemen,44.035651235438266,1.4830935271469806e-09
la,43.47889578986921,1.947250735052857e-09
rapist,42.29657455605676,3.470838704808135e-09
lies,41.54342494263739,5.014774132812755e-09
bitcoin4freedom,40.579428008870856,8.02997764563281e-09
great,38.922506619546446,1.802528554907439e-08
275,38.25752042515326,2.4929893185622262e-08
hell,37.446760296468696,3.701277864356151e-08
crisis,36.987491756111496,4.62950405238084e-08
rooms,36.85726916083006,4.93269813050417e-08
