Date,Tweet
Oct-11,literally people freaking texting fucking polls polls vote bought paid sick shit
Oct-11,black man definitely could support donald trump constantly degrades insults blacks people color especially black women
Oct-10,hardcore trump supporters north carolina refusing accept help fema believing lies told right
Oct-11,cast ballot today donald j trump
Oct-10,harris keeps overperforming districts biden barely pennsylvania anyone says trump election bag delusional
Oct-11,vote jill stein vote donald trump reckless people lives
Oct-11,media letting go trump wo release medical records biden would scandal
Oct-11,democrats vote numbers ca ignore
Oct-11,donald trump desperate win election knows freedom depends lose election lose freedom
Oct-11,donald trump one biggest losers manufacturing jobs american president history michigan manufacturing
Oct-11,still ca get president obama saying donald trump care mob might attack vice president think cares
Oct-11,admit love angry punch motherfucker face facts obama
Oct-11,donald trump running world exist rising crime rates cratering stock market high unemployment millions undocumented immigrants voting
Oct-10,kremlin confirms donald trump working putin years private citizen crime folks
Oct-10,maga seem overly confident today fake poll numbers false narratives trump election locked
Oct-10,28 days go gas brakes bring friends family
Oct-11,trump sent putin rapid covid testing machines worth hundreds thousands dollars yet could bothered get paul whelan released
Oct-10,see wave polls trying accomplish two things 1 suppress democrat vote 2 create argument election fraud trump loses
Oct-10,thanks trump overturning roe supreme court issued ruling woman bleeding miscarriage die er table texas
Oct-10,everyone saying people leaving twitter right think twitter problems major source get information
Oct-08,thinks trump assassination attempts staged
Oct-08,begging everybody vote early please wait election day see hurricanes bearing states
Oct-08,donald trump shipping covid supplies russia height pandemic
Oct-10,donald trump came detroit today insulted city rebound resolve
Oct-10,latinos trump goooood
Oct-11,convinced barack obama lost loafer trump ass last night
Oct-11,people trump says harris gets whole country like detroit means black
Oct-11,give answer everyone baffled trump spending saturday rally coachella seems zero political benefit
Oct-10,would like nominate deportation czar president donald trump second term
Oct-11,breaking analysts questioning donald trump stamina second rally showing steep drop performance trump rambling incoherently
Oct-11,hot take voting jill stein already knows vote trump
Oct-08,fucking asshole biden calls donald trump private according bob woodward also public
Oct-11,throughout world occupied america everyone colorado across nation make vow november 5th 2024 liberation day america
Oct-11,trump holding rally madison square garden end month
Oct-11,breaking mark milley former general donald trump chairman joint chief staff blasted donald trump fascist core
Oct-11,union workers trump union autoworkers trump autoworkers firefighters trump firefighters
Oct-11,media praise tim walz weeks time visited china 15 years ago refuse press donald trump total lie
Oct-11,shocking trump harm hurricane victims first responders barrage lies crisis
Oct-11,listen polls pundits media news listen soul way trump support 2020
Oct-10,clear donald trump elon musk leonard leo charles koch harlan crow rupert murdoch villains vote blue defeat maniacs
Oct-10,cnn wants president trump fuck cnn
Oct-10,fool elon know secret plan get trump marry mom call daddy
Oct-10,places donald trump hates detroit milwaukee prison swing states trump win election without michigan wisconsin
Oct-09,would trump send covid tests putin hoax
Oct-11,trump weak pass
Oct-11,trump requesting military aircraft vehicles say aid next coup
Oct-09,trump bibles made china instead united states
Oct-11,maga influencers politicians constantly push nonsense morons would believe ensuring control party long term
Oct-10,trump gop used accuse obama running shadow government exactly trump
Oct-09,trump bibles paid 3 selling 80 suckers
Oct-11,elmo many things send army bots vote traitor donald trump
Oct-09,kamala harris raised billion dollars nominated president amount
Oct-10,revelation inevitable learning trump god bless usa bibles made china
Oct-11,trump promised america lose one auto plant presidency lost six trump abandoned manufacturing kamala harris created
Oct-10,much could without trump blustery bloviations eternity starting feel raspy rants ways even disturbing
Oct-10,mass deportations everyone illegally destroy economy trump promising
Oct-10,women time make voices heard get vote show trump everyone like done misogyny abuse
Oct-10,loving potus looked camera told trump get life help hurricane victims also job
Oct-10,think white protect dangers trump becoming president invite read history book
Oct-10,dear weather channel stop saying reaching president trump thoughts former president
Oct-10,tax tips social security overtime pay interest car trump igniting presidential campaign
Oct-09,nikki haley voters sink trump election chances
Oct-10,donald trump president two things jack shit
Oct-11,trump momentum week crashes burns though people remember destroyed roe wade
Oct-10,thinks trump america worst president ever
Oct-09,government control weather turn hurricanes trump
Oct-11,24 son casting first ever presidential vote donald j trump prouder
Oct-09,according bob woodward bombshell reporting trump putin trump secretly sending covid supplies putin height pandemic
Oct-10,long days never gave two fucks american politics
Oct-10,prez obama said think donald trump ever changed diaper would say depends vote blue
Oct-11,one indicator trump cognitive decline advancement sudden dredging something past
Oct-11,russia confirming claim sent covid tests supplies donald trump height pandemic
Oct-11,promise haitian people working hard building lives springfield better maga trump vance weaponized vote blue
Oct-11,moment trump lost election harris shifted drastically center prediction
Oct-11,character everything trump none period
Oct-09,maga hurt geraldo pointing obvious trump turned millions liars
Oct-09,kamala harris stunned audience silence impassioned reminiscence like trump sent covid tests putin americans dying
Oct-07,thinks kamala way better president trump
Oct-09,new pa poll bullfinchgroup harris 50 trump 46 harris
Oct-09,daily reminder trump scab screws workers refused pay overtime wages pay people general
Oct-09,crazy conservatives complaining spend resources home instead sending covid supplies putin 2020
Oct-08,people suddenly mad bob woodward forget warned trump pandemic back early million people died lost moral center years ago
Oct-08,private citizens forbidden federal logan act engaging foreign policy undercutting america trump least seven phone calls putin since leaving office
Oct-08,disgusted beyond belief vietnam war veteran would give trump purple heart trump bought way vietnam coward
Oct-11,donald trump prepares give hate rally aurora colorado want point founding fathers stressed importance immigration would loathed maga
Oct-11,remember thing republicans 2020 flooded zone junk polls make look like trump winning polls vote
Oct-05,guilty party donald nearly always best bet create many delays possible done every time charged
Oct-11,noticed cities trump says hates calls terrible cities majority black brown people also cities claimed stole election
Oct-09,far many reporters fear donald think appeasing protect wrong must warn public unique danger second trump administration poses
Oct-11,speech trump giving right sounds like dead six months one heart tell
Oct-10,trump makes bibles china trump made red hats china trump makes 100k watches china trump hired guy europe
Oct-08,still answer question donald trump tell bob woodward truth march 2020 american people
Oct-09,trump rallies two hours hate speech american flag flying background
Oct-11,speech trump giving right sounds like dead six months one heart tell
Oct-08,still answer question trump tell bob woodward truth covid march 2020 american public
Oct-11,omfg fuck wrong motherfuckers think somewhere like pennsylvania harris trump
Oct-11,george laura bush show courage even dick cheney warning us trump
Oct-08,hiding trump secretly conspires putin sent covid tests americans get calls mohammed bin sawing burner phone bob woodward cares book
Oct-08,president biden appointed sally yates ag instead garland nightmare trump election garland failure act timely contributed disaster
Oct-10,watching barack obama right reminds one effective orators lifetimes taking donald trump rallying kamala harris like never
Oct-09,reason north korea russia china amplifying trump depraved lies fema nation mortal enemies protect family voteblue
Oct-09,polls like donald trump guilty crimes accused yes 60 34 donald trump moral monster yes 74
Oct-11,breaking one trump tax cut allowed 15 corporations avoid paying 1 billion taxes including google meta amazon google alone saved 11 billion
Oct-10,detroit hosted largest nfl draft tigers playoffs lions headed super bowl without trump help
Oct-11,quick question everyone think trump dementia
Oct-11,get fact trump secretly shipped covid tests putin hospitals faced shortages americans scandalous revelation
