Account Name,Tweet,Date,No. of Replies,No. of Likes,No. of Retweets
WTFGOP,I literally have people freaking out & texting me about all these fucking polls. Polls don't vote! And most are bought & paid for. So sick of this shit.,Oct-11,122,20.3K,"2,836"
Bishop Paul S Morton,As a Black Man I definitely could not support Donald Trump who constantly degrades and insults Blacks and People of Color. Especially our Black Women.,Oct-11,305,23.3K,"3,653"
SANJOSEMAILMAN,"Some hardcore Trump supporters in North Carolina are refusing to accept help from FEMA, believing the lies being told by the right.",Oct-10,115,85K,"4,925"
GoldStarMom,I cast my ballot today for Donald J Trump.,Oct-11,416,74.4K,"6,925"
Aes,Harris keeps overperforming in districts Biden barely won in Pennsylvania. Anyone who says Trump has this election in the bag is delusional.,Oct-10,88,33.9K,"2,416"
John Pavlovitz,A vote for Jill Stein is a vote for Donald Trump. Don't be reckless with other people's lives.,Oct-11,490,20K,"1,514"
Kaivan Shroff,"Again, media is just letting it go that Trump won't release his medical records. If Biden did the same it would be a scandal.",Oct-11,"1,668",29.1K,"1,545"
WTFGOP,DEMOCRATS WE HAVE TO VOTE IN NUMBERS THEY CAN'T IGNORE!,Oct-11,51,"3,702",236
MAYRA Photography,"Donald Trump is desperate to win this election because he knows his freedom depends on it. If we lose this election, we'll lose our freedom.",Oct-11,83,6.4K,41
Tim Walz,"Donald Trump is one of the biggest losers of manufacturing jobs of any American president in history. 280,000 Michigan jobs—gone, 30,000 manufacturing jobs—gone.",Oct-11,4.7K,31K,927K
Ricky Davila,"I still can't get over President Obama saying, ""If Donald Trump does not care that a mob might attack his own Vice President, do you think he cares about you?""",Oct-11,361,26K,1.4K
WTFGOP,"I have to admit, I love angry. I'll punch a motherfucker in the face with facts, Obama.",Oct-11,178,5.5K,862
Steven Beschloss,"Donald Trump is running against a world that doesn't exist: rising crime rates, a cratering stock market, high unemployment, millions of undocumented immigrants voting.",Oct-11,36,3.7K,185K
Pesach Lattin,Kremlin confirms that Donald Trump has been working with Putin for years as a private citizen. This is a crime folks.,Oct-10,185,5.8K,1.4K
